room_type,number_of_reviews,calculated_host_listings_count,availability_365,price,distance,cancellation_policy,size,amenities_num,host_identity_verified,security_deposit,cleaning_fee,guests_included,extra_people,review_scores_rating,bathrooms,bedrooms,beds,bed_type,accommodates
0,81,3,68,200,5.013790224704882,2,130.0,23,0,1500.0,60.0,4,20.0,98.0,2.0,2.0,5.0,0,5
0,160,1,264,80,3.8028559981537673,2,50.0,19,0,250.0,75.0,2,15.0,92.0,1.0,2.0,4.0,0,5
0,3,1,0,49,10.039166255909414,1,10.0,6,0,1200.0,50.0,1,10.0,100.0,1.0,1.0,1.0,0,1
0,72,1,352,55,2.9139177013377644,2,75.0,21,0,2400.0,70.0,1,0.0,97.0,1.0,2.0,4.0,0,4
0,32,2,211,130,3.8129573207220493,2,84.1312498054968,9,0,300.0,39.0,1,15.0,95.0,1.5,2.0,3.0,0,4
0,76,2,149,90,4.252784999891088,2,77.33164405325999,27,0,300.0,50.0,2,20.0,97.0,1.0,1.0,1.0,0,4
0,7,4,86,120,21.80729018117522,2,128.19529818443064,17,0,200.0,50.0,2,25.0,100.0,1.5,2.0,5.0,0,10
1,96,2,347,37,4.289876394918334,2,14.0,14,0,400.0,25.0,1,10.0,92.0,1.0,1.0,1.0,0,2
1,45,2,123,44,4.863771323763055,2,90.52665665308157,13,0,150.0,15.0,1,18.0,98.0,1.0,3.0,3.0,1,6
0,34,1,0,102,1.5983301938592918,1,72.0,24,0,200.0,30.0,2,25.0,100.0,1.0,2.0,2.0,0,4
1,70,1,58,29,4.165852648642326,2,56.45273788691094,19,0,85.0,15.0,1,15.0,96.0,1.0,1.0,2.0,0,2
0,220,10,315,84,5.288944319964231,2,64.39621705628124,23,0,200.0,26.73,2,10.0,90.0,1.0,0.0,2.0,0,4
0,37,2,349,80,5.811090276253676,1,46.0,19,0,200.0,60.0,2,20.0,97.0,1.0,1.0,1.0,0,2
0,200,1,178,69,3.6497652401293394,2,56.44262154060377,28,0,0.0,40.0,2,10.0,96.0,1.0,1.0,2.0,0,2
0,59,1,359,185,3.893871191960276,2,101.0,12,0,0.0,45.0,4,25.0,81.0,1.0,3.0,6.0,0,6
0,69,1,28,49,8.105677261168646,1,56.24218898452277,32,0,250.0,30.0,1,10.0,98.0,1.0,1.0,1.0,1,2
0,39,1,286,155,2.3078900600189605,2,108.0,18,0,300.0,60.0,2,25.0,99.0,1.0,2.0,3.0,0,5
0,238,1,69,66,5.269292054071226,2,10.0,22,0,200.0,30.0,1,0.0,98.0,1.0,1.0,1.0,0,2
0,71,3,225,70,3.5551443290801688,0,40.0,19,0,213.93,30.0,1,0.0,91.0,1.0,1.0,1.0,0,2
0,197,2,249,53,4.021975159750783,2,60.59750217066886,23,0,213.93,20.0,1,20.0,94.0,1.0,1.0,1.0,0,2
0,2,1,139,70,4.783228573349251,2,85.0,22,0,0.0,30.0,2,20.0,100.0,2.0,1.0,2.0,0,3
0,265,2,323,92,4.9185509610471865,1,90.0,31,0,190.0,36.0,1,19.0,96.0,1.5,2.0,0.0,0,5
0,47,3,328,75,3.551695678312607,1,15.0,17,0,213.93,30.0,1,0.0,92.0,1.0,1.0,1.0,0,2
1,44,1,365,80,2.5961916834220187,2,57.110189890938386,5,0,150.0,40.0,1,10.0,92.0,1.0,1.0,2.0,0,2
1,167,1,336,48,2.1723865372792845,2,18.0,14,0,0.0,25.0,1,10.0,94.0,1.0,1.0,1.0,0,2
0,57,4,109,114,4.215948998818062,2,72.72110306281833,15,0,213.93,40.0,2,15.0,96.0,1.0,1.0,2.0,0,4
0,44,1,2,60,2.05662034079342,2,10.0,9,0,213.93,20.0,1,0.0,99.0,1.0,1.0,2.0,0,3
0,154,1,315,50,1.966126755512696,2,75.51920279835231,22,0,125.0,45.0,2,30.0,89.0,1.0,1.0,2.0,0,3
0,91,2,319,82,4.082946713498696,1,55.0,16,0,0.0,50.0,2,5.0,95.0,1.0,1.0,2.0,0,4
0,59,1,363,80,4.171020253194026,2,65.86456639776318,17,0,300.0,35.0,1,25.0,99.0,1.0,1.0,1.0,0,2
0,68,1,236,60,4.026832686482081,1,49.59625021646438,14,0,213.93,25.0,2,0.0,96.0,1.0,1.0,1.0,0,2
0,114,2,194,70,2.7398799222037358,0,40.0,6,0,0.0,30.0,1,15.0,91.0,1.0,1.0,1.0,0,2
