room_type,number_of_reviews,calculated_host_listings_count,availability_365,price,distance,cancellation_policy,size,amenities_num,host_identity_verified,security_deposit,cleaning_fee,guests_included,extra_people,review_scores_rating,bathrooms,bedrooms,beds,bed_type,accommodates
16,28,1,361,44,4.650042563809672,20,50.31351885031787,9,0,100.0,15.0,1,15.0,89.0,1.0,1.0,1.0,7,1
15,144,1,343,62,3.8011482238478487,18,47.0,21,0,0.0,20.0,2,8.0,89.0,1.0,1.0,2.0,7,4
15,1,1,89,55,5.266471378414513,18,75.0,13,0,1000.0,50.0,1,10.0,94.41,1.0,1.0,1.0,7,2
16,33,2,297,40,7.15902153515577,19,10.0,11,0,500.0,5.0,1,20.0,88.0,0.0,1.0,1.0,7,1
16,21,1,329,25,2.8612564788496013,18,200.0,30,0,0.0,0.0,1,15.0,91.0,1.0,1.0,1.0,7,1
15,307,2,25,52,3.941157708554236,18,65.0,21,0,100.0,30.0,1,12.0,95.0,1.0,1.0,2.0,7,2
16,161,2,120,39,2.481123500119681,20,20.0,17,0,213.93,20.0,1,19.0,90.0,1.5,1.0,1.0,7,3
15,102,10,221,80,4.0484250658544125,18,21.0,20,0,500.0,26.73,2,0.0,89.0,1.0,1.0,1.0,7,2
15,6,1,310,80,2.2960911020529484,19,52.182438542971234,12,0,500.0,35.0,2,0.0,87.0,1.0,1.0,2.0,7,2
16,70,1,0,43,3.779876519098141,20,57.40096113040336,10,0,213.93,26.73,1,13.0,94.0,1.0,1.0,1.0,7,2
16,1,1,0,40,3.3256198081934882,19,49.8234072563462,5,0,213.93,26.73,1,0.0,80.0,1.0,1.0,1.0,7,2
16,25,2,217,36,2.541131418067299,19,35.0,17,0,213.93,20.0,1,19.0,85.0,1.5,1.0,1.0,7,3
15,109,1,285,119,3.605956721642328,18,2.0,19,0,213.93,45.0,2,10.0,98.0,1.0,2.0,3.0,7,4
15,65,2,186,90,4.091366983277382,18,77.33164405325999,27,0,300.0,50.0,2,20.0,96.0,1.0,1.0,1.0,7,4
16,11,1,65,42,2.8389605817386565,20,58.2669842628905,18,0,1000.0,20.0,2,10.0,84.0,1.0,1.0,1.0,8,2
16,101,1,32,56,3.5972995214602337,20,55.80818853131496,13,0,300.0,25.0,1,10.0,97.0,1.0,1.0,1.0,7,2
16,151,1,0,50,3.331703727243163,18,55.65229485177478,10,0,213.93,26.73,1,10.0,96.0,1.0,1.0,1.0,7,2
15,38,2,264,48,3.927353417005133,18,44.0,26,0,500.0,50.0,1,0.0,98.0,1.0,1.0,2.0,7,2
15,35,1,32,160,3.4389605645045727,18,150.0,23,0,213.93,50.0,1,0.0,100.0,2.0,2.0,3.0,7,6
15,0,1,129,70,3.8904419043351903,20,49.8234072563462,11,0,213.93,26.73,1,0.0,94.41,1.0,1.0,1.0,7,2
15,5,1,0,88,3.714845864175848,18,110.0,17,0,213.93,45.0,2,15.0,100.0,1.0,1.0,1.0,7,2
16,156,1,33,55,2.5775086168426866,18,100.0,20,0,90.0,10.0,1,10.0,93.0,1.0,1.0,2.0,7,2
17,0,1,365,88,4.248806022950362,20,41.420704634879804,0,0,213.93,10.0,1,0.0,94.41,1.0,1.0,1.0,9,1
15,1,1,67,90,2.0464968498645604,18,30.0,21,0,213.93,25.0,1,0.0,100.0,1.0,1.0,1.0,7,2
15,11,1,285,55,7.5907610570379855,18,66.5461282148847,23,0,500.0,100.0,1,10.0,95.0,1.0,1.0,2.0,7,2
15,81,3,68,200,5.013790224704882,18,130.0,23,0,1500.0,60.0,4,20.0,98.0,2.0,2.0,5.0,7,5
15,160,1,264,80,3.8028559981537673,18,50.0,19,0,250.0,75.0,2,15.0,92.0,1.0,2.0,4.0,7,5
15,3,1,0,49,10.039166255909414,20,10.0,6,0,1200.0,50.0,1,10.0,100.0,1.0,1.0,1.0,7,1
15,72,1,352,55,2.9139177013377644,18,75.0,21,0,2400.0,70.0,1,0.0,97.0,1.0,2.0,4.0,7,4
15,32,2,211,130,3.8129573207220493,18,84.1312498054968,9,0,300.0,39.0,1,15.0,95.0,1.5,2.0,3.0,7,4
15,76,2,149,90,4.252784999891088,18,77.33164405325999,27,0,300.0,50.0,2,20.0,97.0,1.0,1.0,1.0,7,4
15,7,4,86,120,21.80729018117522,18,128.19529818443064,17,0,200.0,50.0,2,25.0,100.0,1.5,2.0,5.0,7,10
16,96,2,347,37,4.289876394918334,18,14.0,14,0,400.0,25.0,1,10.0,92.0,1.0,1.0,1.0,7,2
16,45,2,123,44,4.863771323763055,18,90.52665665308157,13,0,150.0,15.0,1,18.0,98.0,1.0,3.0,3.0,8,6
15,34,1,0,102,1.5983301938592918,20,72.0,24,0,200.0,30.0,2,25.0,100.0,1.0,2.0,2.0,7,4
16,70,1,58,29,4.165852648642326,18,56.45273788691094,19,0,85.0,15.0,1,15.0,96.0,1.0,1.0,2.0,7,2
15,220,10,315,84,5.288944319964231,18,64.39621705628124,23,0,200.0,26.73,2,10.0,90.0,1.0,0.0,2.0,7,4
15,37,2,349,80,5.811090276253676,20,46.0,19,0,200.0,60.0,2,20.0,97.0,1.0,1.0,1.0,7,2
15,200,1,178,69,3.6497652401293394,18,56.44262154060377,28,0,0.0,40.0,2,10.0,96.0,1.0,1.0,2.0,7,2
15,59,1,359,185,3.893871191960276,18,101.0,12,0,0.0,45.0,4,25.0,81.0,1.0,3.0,6.0,7,6
15,69,1,28,49,8.105677261168646,20,56.24218898452277,32,0,250.0,30.0,1,10.0,98.0,1.0,1.0,1.0,8,2
15,39,1,286,155,2.3078900600189605,18,108.0,18,0,300.0,60.0,2,25.0,99.0,1.0,2.0,3.0,7,5
15,238,1,69,66,5.269292054071226,18,10.0,22,0,200.0,30.0,1,0.0,98.0,1.0,1.0,1.0,7,2
15,71,3,225,70,3.5551443290801688,19,40.0,19,0,213.93,30.0,1,0.0,91.0,1.0,1.0,1.0,7,2
15,197,2,249,53,4.021975159750783,18,60.59750217066886,23,0,213.93,20.0,1,20.0,94.0,1.0,1.0,1.0,7,2
15,2,1,139,70,4.783228573349251,18,85.0,22,0,0.0,30.0,2,20.0,100.0,2.0,1.0,2.0,7,3
15,265,2,323,92,4.9185509610471865,20,90.0,31,0,190.0,36.0,1,19.0,96.0,1.5,2.0,0.0,7,5
15,47,3,328,75,3.551695678312607,20,15.0,17,0,213.93,30.0,1,0.0,92.0,1.0,1.0,1.0,7,2
16,44,1,365,80,2.5961916834220187,18,57.110189890938386,5,0,150.0,40.0,1,10.0,92.0,1.0,1.0,2.0,7,2
16,167,1,336,48,2.1723865372792845,18,18.0,14,0,0.0,25.0,1,10.0,94.0,1.0,1.0,1.0,7,2
15,57,4,109,114,4.215948998818062,18,72.72110306281833,15,0,213.93,40.0,2,15.0,96.0,1.0,1.0,2.0,7,4
15,44,1,2,60,2.05662034079342,18,10.0,9,0,213.93,20.0,1,0.0,99.0,1.0,1.0,2.0,7,3
15,154,1,315,50,1.966126755512696,18,75.51920279835231,22,0,125.0,45.0,2,30.0,89.0,1.0,1.0,2.0,7,3
15,91,2,319,82,4.082946713498696,20,55.0,16,0,0.0,50.0,2,5.0,95.0,1.0,1.0,2.0,7,4
15,59,1,363,80,4.171020253194026,18,65.86456639776318,17,0,300.0,35.0,1,25.0,99.0,1.0,1.0,1.0,7,2
15,68,1,236,60,4.026832686482081,20,49.59625021646438,14,0,213.93,25.0,2,0.0,96.0,1.0,1.0,1.0,7,2
15,114,2,194,70,2.7398799222037358,19,40.0,6,0,0.0,30.0,1,15.0,91.0,1.0,1.0,1.0,7,2
15,53,1,140,130,3.8161976594346374,18,150.0,30,0,0.0,50.0,1,0.0,99.0,1.0,3.0,6.0,7,6
15,3,1,344,69,8.764210301198911,18,76.98366099074985,15,0,213.93,45.0,2,15.0,100.0,1.0,2.0,2.0,7,4
15,3,1,310,75,1.4222145549891996,18,52.70628960706765,6,0,250.0,20.0,1,0.0,100.0,1.0,2.0,1.0,7,2
15,84,1,266,68,2.622514277477249,20,36.0,27,0,213.93,25.0,2,20.0,94.0,1.0,1.0,1.0,7,4
15,5,1,0,125,4.396140721009552,20,21.0,12,0,213.93,40.0,2,10.0,95.0,1.0,1.0,2.0,7,4
