room_type,calculated_host_listings_count,availability_365,price,distance,cancellation_policy,size,amenities_num,security_deposit,cleaning_fee,guests_included,extra_people,bathrooms,bedrooms,beds,bed_type,accommodates
16,2,347,37,4.289876394918334,18,14.0,14,400.0,25.0,1,10.0,1.0,1.0,1.0,7,2
16,2,123,44,4.863771323763055,18,90.52665665308109,13,150.0,15.0,1,18.0,1.0,3.0,3.0,8,6
15,1,0,102,1.5983301938592918,20,72.0,24,200.0,30.0,2,25.0,1.0,2.0,2.0,7,4
16,1,58,29,4.165852648642326,18,56.4527378869107,19,85.0,15.0,1,15.0,1.0,1.0,2.0,7,2
15,10,315,84,5.288944319964231,18,64.39621705628122,23,200.0,26.73,2,10.0,1.0,0.0,2.0,7,4
15,2,349,80,5.811090276253676,20,46.0,19,200.0,60.0,2,20.0,1.0,1.0,1.0,7,2
15,1,178,69,3.6497652401293394,18,56.442621540603504,28,0.0,40.0,2,10.0,1.0,1.0,2.0,7,2
15,1,359,185,3.893871191960276,18,101.0,12,0.0,45.0,4,25.0,1.0,3.0,6.0,7,6
15,1,28,49,8.105677261168646,20,56.24218898452286,32,250.0,30.0,1,10.0,1.0,1.0,1.0,8,2
15,1,286,155,2.3078900600189605,18,108.0,18,300.0,60.0,2,25.0,1.0,2.0,3.0,7,5
15,1,69,66,5.269292054071226,18,10.0,22,200.0,30.0,1,0.0,1.0,1.0,1.0,7,2
15,3,225,70,3.5551443290801688,19,40.0,19,213.93,30.0,1,0.0,1.0,1.0,1.0,7,2
15,2,249,53,4.021975159750783,18,60.59750217066883,23,213.93,20.0,1,20.0,1.0,1.0,1.0,7,2
15,1,139,70,4.783228573349251,18,85.0,22,0.0,30.0,2,20.0,2.0,1.0,2.0,7,3
15,2,323,92,4.9185509610471865,20,90.0,31,190.0,36.0,1,19.0,1.5,2.0,0.0,7,5
15,3,328,75,3.551695678312607,20,15.0,17,213.93,30.0,1,0.0,1.0,1.0,1.0,7,2
16,1,365,80,2.5961916834220187,18,57.110189890938365,5,150.0,40.0,1,10.0,1.0,1.0,2.0,7,2
16,1,336,48,2.1723865372792845,18,18.0,14,0.0,25.0,1,10.0,1.0,1.0,1.0,7,2
15,4,109,114,4.215948998818062,18,72.72110306281832,15,213.93,40.0,2,15.0,1.0,1.0,2.0,7,4
15,1,2,60,2.05662034079342,18,10.0,9,213.93,20.0,1,0.0,1.0,1.0,2.0,7,3
15,1,315,50,1.966126755512696,18,75.51920279835218,22,125.0,45.0,2,30.0,1.0,1.0,2.0,7,3
15,2,319,82,4.082946713498696,20,55.0,16,0.0,50.0,2,5.0,1.0,1.0,2.0,7,4
15,1,363,80,4.171020253194026,18,65.86456639776335,17,300.0,35.0,1,25.0,1.0,1.0,1.0,7,2
15,1,236,60,4.026832686482081,20,49.59625021646442,14,213.93,25.0,2,0.0,1.0,1.0,1.0,7,2
15,2,194,70,2.7398799222037358,19,40.0,6,0.0,30.0,1,15.0,1.0,1.0,1.0,7,2
15,1,140,130,3.8161976594346374,18,150.0,30,0.0,50.0,1,0.0,1.0,3.0,6.0,7,6
15,1,344,69,8.764210301198911,18,76.9836609907498,15,213.93,45.0,2,15.0,1.0,2.0,2.0,7,4
15,1,310,75,1.4222145549891996,18,52.706289607067674,6,250.0,20.0,1,0.0,1.0,2.0,1.0,7,2
15,1,266,68,2.622514277477249,20,36.0,27,213.93,25.0,2,20.0,1.0,1.0,1.0,7,4
15,1,0,125,4.396140721009552,20,21.0,12,213.93,40.0,2,10.0,1.0,1.0,2.0,7,4
15,1,340,70,16.67604571748248,20,30.0,17,213.93,25.0,1,0.0,1.0,1.0,2.0,7,4
15,5,295,89,1.9319629511408583,18,35.0,13,213.93,40.0,2,15.0,1.0,1.0,1.0,7,2
15,1,302,59,3.930988243568319,18,15.0,16,213.93,30.0,2,20.0,1.0,1.0,1.0,7,3
15,1,202,96,3.8807107529306366,18,80.0,28,0.0,88.0,3,9.0,1.0,3.0,6.0,7,6
15,1,0,75,2.26431274688673,20,73.4126939563828,11,213.93,40.0,2,10.0,1.0,2.0,3.0,7,4
16,1,322,55,2.935233131949943,20,105.0,15,0.0,0.0,1,5.0,1.0,1.0,1.0,7,2
15,1,312,55,3.1983998822812225,18,40.0,16,200.0,40.0,2,15.0,1.0,1.0,3.0,7,4
16,1,50,70,4.224488223508943,18,25.0,22,85.0,40.0,1,10.0,1.0,1.0,2.0,7,3
15,1,324,31,5.098073818777181,18,46.474161969178084,10,250.0,0.0,1,0.0,1.0,1.0,1.0,7,2
16,1,84,40,3.0085204700313435,18,16.0,22,100.0,20.0,2,25.0,1.0,2.0,1.0,7,4
15,1,342,81,1.0842642188704794,18,70.0,29,1000.0,80.0,1,20.0,1.0,1.0,2.0,7,4
16,1,341,52,5.024682536711171,20,30.0,20,213.93,20.0,2,15.0,1.0,1.0,1.0,8,2
15,1,282,100,4.950487507802074,18,12.0,17,3000.0,80.0,2,100.0,1.0,2.0,2.0,7,2
15,1,1,36,1.9748120949564563,19,60.0,15,120.0,50.0,2,12.0,1.0,1.0,2.0,7,3
15,1,291,88,1.5991777703475067,18,85.0,17,213.93,40.0,4,40.0,1.0,2.0,2.0,7,4
16,1,324,29,5.224934112057024,20,40.0,15,100.0,20.0,1,15.0,1.0,1.0,2.0,7,4
15,1,325,100,2.2303181463414083,20,50.0,8,1000.0,40.0,6,0.0,1.0,1.0,2.0,7,2
15,1,222,161,6.844575089919804,19,81.75171512178238,30,1000.0,26.73,1,0.0,1.0,2.0,4.0,7,6
15,1,214,65,12.502141946026635,18,45.0,20,500.0,65.0,2,8.0,2.0,2.0,3.0,8,6
